customer_id,age,income,account_status,signup_channel,churned,final_account_note
71,23,103763.0,suspended,web,1,closed_by_customer
72,59,28680.0,closed,web,1,closed_by_customer
73,21,104896.0,suspended,web,1,in_good_standing
74,46,,closed,web,0,in_good_standing
75,35,91295.0,active,web,1,in_good_standing
76,43,108614.0,closed,web,0,in_good_standing
77,61,31111.0,active,web,1,closed_by_customer
78,51,57504.0,closed,web,0,in_good_standing
79,27,21802.0,suspended,web,1,closed_by_customer
80,53,28155.0,suspended,web,1,closed_by_customer
81,31,93656.0,active,web,0,in_good_standing
82,48,,active,web,0,in_good_standing
83,65,67254.0,active,web,0,in_good_standing
84,32,41918.0,closed,web,0,in_good_standing
85,25,105981.0,closed,web,0,in_good_standing
86,31,80713.0,active,web,0,in_good_standing
87,40,50306.0,suspended,web,1,closed_by_customer
88,57,36646.0,closed,web,0,closed_by_customer
89,38,,closed,web,0,in_good_standing
90,33,116601.0,closed,web,0,in_good_standing
91,62,110735.0,active,web,0,in_good_standing
92,35,36371.0,active,web,1,closed_by_customer
93,64,97371.0,active,web,1,in_good_standing
94,41,22049.0,active,web,1,closed_by_customer
95,43,51616.0,active,web,0,in_good_standing
96,42,40932.0,suspended,web,1,closed_by_customer
97,62,49855.0,suspended,web,1,closed_by_customer
98,58,81434.0,active,web,0,in_good_standing
99,46,92694.0,closed,web,0,in_good_standing
100,32,63016.0,active,web,0,in_good_standing
101,62,27400.0,suspended,web,0,closed_by_customer
102,18,62642.0,suspended,web,1,closed_by_customer
103,42,,closed,web,1,closed_by_customer
104,24,,suspended,web,1,closed_by_customer
105,26,86690.0,active,web,1,in_good_standing
106,41,24499.0,closed,web,1,closed_by_customer
107,18,26295.0,active,web,1,closed_by_customer
108,61,79040.0,active,web,1,in_good_standing
109,25,32183.0,closed,web,1,closed_by_customer
110,41,49299.0,active,web,0,in_good_standing
111,28,32874.0,suspended,web,1,closed_by_customer
112,68,,active,web,0,in_good_standing
113,34,25539.0,closed,web,0,closed_by_customer
114,25,73351.0,closed,web,0,in_good_standing
115,52,81267.0,closed,web,0,in_good_standing
116,52,68354.0,active,web,0,in_good_standing
117,50,,closed,web,1,closed_by_customer
118,22,58360.0,closed,web,0,closed_by_customer
119,59,102018.0,active,web,0,in_good_standing
120,56,22200.0,suspended,web,1,closed_by_customer
121,58,88497.0,active,web,0,in_good_standing
122,45,66975.0,closed,web,0,in_good_standing
123,24,41357.0,closed,web,0,in_good_standing
124,26,97505.0,active,web,0,in_good_standing
125,25,,suspended,web,1,closed_by_customer
126,29,81135.0,closed,web,0,in_good_standing
127,51,70108.0,closed,web,0,in_good_standing
128,50,114179.0,closed,web,0,in_good_standing
129,65,110272.0,active,web,0,in_good_standing
130,40,58467.0,closed,web,0,in_good_standing
131,41,,suspended,web,1,closed_by_customer
132,54,111412.0,closed,web,0,in_good_standing
133,52,106831.0,closed,web,0,in_good_standing
134,61,23987.0,suspended,web,1,closed_by_customer
135,57,78871.0,closed,web,0,in_good_standing
136,39,42399.0,active,web,0,in_good_standing
137,44,66214.0,active,web,0,in_good_standing
138,52,119522.0,active,web,0,in_good_standing
139,18,106416.0,suspended,web,1,closed_by_customer
140,52,90271.0,closed,web,0,in_good_standing
141,54,,active,web,0,in_good_standing
142,64,90091.0,suspended,web,1,closed_by_customer
143,31,60818.0,closed,web,0,in_good_standing
144,20,65525.0,suspended,web,1,closed_by_customer
145,18,39830.0,active,web,1,closed_by_customer
146,22,37429.0,active,web,1,closed_by_customer
147,43,26893.0,active,web,1,closed_by_customer
148,31,99909.0,suspended,web,1,closed_by_customer
149,56,67333.0,suspended,web,1,closed_by_customer
150,44,,active,web,1,closed_by_customer
151,26,94290.0,suspended,web,1,closed_by_customer
152,32,96213.0,active,web,0,in_good_standing
153,32,25895.0,active,web,1,closed_by_customer
154,43,39738.0,closed,web,1,closed_by_customer
155,59,50746.0,suspended,web,1,closed_by_customer
156,30,69377.0,active,web,0,in_good_standing
157,68,,active,web,0,in_good_standing
158,49,74045.0,suspended,web,1,closed_by_customer
159,56,117888.0,closed,web,1,in_good_standing
160,66,59790.0,closed,web,0,closed_by_customer
161,69,25600.0,active,web,1,closed_by_customer
162,49,114660.0,suspended,web,1,closed_by_customer
163,21,113179.0,closed,web,0,in_good_standing
164,47,60764.0,suspended,web,1,closed_by_customer
165,54,94543.0,suspended,web,1,closed_by_customer
166,40,65714.0,active,web,0,closed_by_customer
167,56,76835.0,closed,web,0,in_good_standing
168,62,93744.0,active,web,0,in_good_standing
169,32,76491.0,closed,web,0,in_good_standing
170,60,38589.0,closed,web,1,closed_by_customer
171,46,63484.0,closed,web,0,in_good_standing
172,53,102989.0,closed,web,0,in_good_standing
173,30,56212.0,closed,web,0,in_good_standing
174,49,63525.0,suspended,web,1,closed_by_customer
175,24,67202.0,active,web,0,in_good_standing
176,68,52635.0,suspended,web,1,closed_by_customer
177,39,83208.0,closed,web,0,in_good_standing
178,45,53828.0,active,web,0,in_good_standing
179,19,38711.0,closed,web,1,closed_by_customer
180,59,23420.0,active,web,1,closed_by_customer
181,62,116752.0,suspended,web,1,closed_by_customer
182,23,20301.0,active,web,1,closed_by_customer
183,45,65236.0,active,web,0,in_good_standing
184,45,86235.0,active,web,0,in_good_standing
185,61,,active,web,0,in_good_standing
186,61,85726.0,active,web,0,in_good_standing
187,37,30492.0,closed,web,1,closed_by_customer
188,47,,active,web,1,closed_by_customer
189,28,70336.0,active,web,0,in_good_standing
190,45,105314.0,suspended,web,1,closed_by_customer
191,42,46641.0,active,web,0,in_good_standing
192,56,54584.0,suspended,web,1,closed_by_customer
193,50,52745.0,closed,web,0,in_good_standing
194,18,43093.0,active,web,0,in_good_standing
195,44,,suspended,web,1,closed_by_customer
196,69,71885.0,suspended,web,1,closed_by_customer
197,30,56631.0,closed,web,0,in_good_standing
198,58,92991.0,active,web,0,in_good_standing
199,20,24014.0,active,web,1,closed_by_customer
200,56,31093.0,suspended,web,1,closed_by_customer
1,56,78053.0,suspended,web,1,closed_by_customer
2,69,41959.0,closed,web,0,in_good_standing
3,46,25530.0,suspended,web,1,closed_by_customer
4,32,114856.0,suspended,web,1,closed_by_customer
5,60,23748.0,closed,web,1,closed_by_customer
6,25,117504.0,closed,web,0,in_good_standing
7,38,118098.0,closed,web,0,in_good_standing
8,56,33545.0,active,web,1,closed_by_customer
9,36,86199.0,active,web,0,in_good_standing
10,40,54766.0,active,web,0,closed_by_customer
